Country Code ISO3,Country,2021 SDG Index Rank,2021 SDG Index Score,Regional Score (0-100),Regions used for the SDR,Population in 2020,Goal 1,Goal 2,Goal 3,Goal 4,Goal 5,Goal 6,Goal 7,Goal 8,Goal 9,Goal 10,Goal 11,Goal 12,Goal 13,Goal 14,Goal 15,Goal 16,Goal 17
AFG,Afghanistan,137,53.9,71.4,E. Europe & C. Asia,"38,928,341",,50.131,37.09835714,57.85121667,23.1625,46.3138,64.8225,37.75316667,6.546833333,,31.76125,90.81683333,99.06466667,,52.984,52.02666667,43.3595
AGO,Angola,154,50.3,51.9,Africa,"32,866,268",12.913,55.424125,37.44357143,40.77566667,51.278,53.961,52.43266667,52.4855,7.517,25.2465,46.71175,92.22016667,96.52033333,66.932,64.7534,50.6536,47.766
ALB,Albania,64,71,71.4,E. Europe & C. Asia,"2,877,800",91.6375,60.00485714,81.09271429,95.155,53.57425,75.9076,89.44966667,61.09533333,28.5805,68.4005,72.83833333,79.61733333,92.126,43.8784,80.5868,68.0918,65.335
AND,Andorra,,,71.4,E. Europe & C. Asia,"77,265",,,,,,,,,,,,,,,,,
ARE,United Arab Emirates,71,70.2,67.1,MENA,"9,890,400",99.5695,67.268,86.38807692,92.05933333,71.19925,56.1116,90.99066667,60.1306,74.10516667,91.375,75.9755,51.1275,29.15,76.6002,58.625,79.21244444,33.001
ARG,Argentina,52,72.8,68.6,LAC,"45,195,777",95.99,67.543125,80.6,95.26966667,80.9855,79.0636,92.50666667,70.2755,45.665,38.402,81.0045,76.39166667,86.24866667,57.281,60.6662,65.16766667,64.51275
ARM,Armenia,58,71.8,71.4,E. Europe & C. Asia,"2,963,234",93.438,60.72814286,77.90721429,90.329,57.48825,68.9572,94.82133333,66.2794,34.40266667,55.069,76.44475,88.68466667,93.07333333,,61.792,80.02477778,62.19075
ATG,Antigua and Barbuda,,,68.6,LAC,"97,928",,,,,,,,,,,,,,,,,
AUS,Australia,35,75.6,77.2,OECD,"25,499,881",99.61,58.740125,95.58357143,99.405375,81.00025,94.9532,91.339,81.036,89.48183333,74.2255,89.0435,44.09666667,10.02433333,58.99766667,63.7674,85.1182,68.3645
AUT,Austria,6,82.1,77.2,OECD,"9,006,400",99.467,73.767125,92.10830769,99.20504167,83.08375,89.5994,94.712,85.49266667,95.53433333,91.2085,90.85,48.21383333,53.70333333,,73.4328,93.5696,68.05325
AZE,Azerbaijan,55,72.4,71.4,E. Europe & C. Asia,"10,139,175",100,61.88028571,75.39557143,87.65133333,53.69575,65.5612,91.144,65.7876,35.11933333,68.597,85.68966667,83.867,89.21466667,,65.5958,72.813875,70.027
BDI,Burundi,147,51.8,51.9,Africa,"11,890,781",0,50.54016667,48.99971429,58.822,59.94225,54.904,1.0585,43.4738,5.373333333,58.362,56.584,82.7985,99.802,,77.2392,54.32477778,60.36366667
BEL,Belgium,5,82.2,77.2,OECD,"11,589,616",99.527,70.878875,92.88283333,98.88270833,85.71525,77.3778,94.15266667,85.4915,92.19916667,97.386,90.175,56.33533333,60.73366667,61.7676,85.1846,83.6742,64.86875
BEN,Benin,155,49.9,51.9,Africa,"12,123,198",16.8665,62.465375,46.30092857,49.56133333,30.27525,50.2174,13.402,67.17133333,16.1966,17.6465,46.79375,96.036,98.46366667,59.9694,66.239,58.9885,51.185
BFA,Burkina Faso,139,53.5,51.9,Africa,"20,903,278",21.15,59.282625,47.23035714,35.013,37.55,44.6628,6.451,66.4415,17.1065,70.9145,53.8395,89.84083333,99.19866667,,82.7128,57.1718,53.0385
BGD,Bangladesh,109,63.5,65.7,East & South Asia,"164,689,383",64.256,63.34128571,56.38438462,88.365,53.14525,67.3334,60.31166667,68.3185,27.1608,72.502,53.42725,95.2315,97.3855,65.0895,52.8768,54.5223,39.0715
