Country_ID,Year,Indicator_value
EGY,2022,15.123
EGY,2021,14.636
EGY,2020,14.484
EGY,2019,15.831
EGY,2018,18.383
EGY,2017,22.145
EGY,2016,23.024
EGY,2015,22.779
EGY,2014,23.131
EGY,2013,22.982
EGY,2012,22.473
EGY,2011,22.503
EGY,2010,23.17
EGY,2009,22.902
EGY,2008,21.884
EGY,2007,23.328
EGY,2006,21.269
EGY,2005,20.471
EGY,2004,19.698
EGY,2003,18.948
EGY,2002,18.221
EGY,2001,20.375
EGY,2000,20.449
EGY,1999,20.559
EGY,1998,19.742
EGY,1997,20.42
EGY,1996,21.113
EGY,1995,21.82
EGY,1994,23.189
EGY,1993,22.368
EGY,1992,23.051
EGY,1991,22.236
EGY,1990,22.229
ETH,2022,75.027
ETH,2021,74.753
ETH,2020,73.95
ETH,2019,74.658
ETH,2018,74.588
ETH,2017,74.516
ETH,2016,74.446
ETH,2015,74.379
ETH,2014,74.3
ETH,2013,74.223
ETH,2012,74.256
ETH,2011,74.29
ETH,2010,74.326
ETH,2009,74.362
ETH,2008,74.4
ETH,2007,74.439
ETH,2006,74.481
ETH,2005,74.525
ETH,2004,73.855
ETH,2003,73.177
ETH,2002,72.489
ETH,2001,71.791
ETH,2000,71.084
ETH,1999,70.363
ETH,1998,69.631
ETH,1997,68.891
ETH,1996,68.141
ETH,1995,67.379
ETH,1994,66.605
ETH,1993,66.613
ETH,1992,66.625
ETH,1991,66.646
ETH,1990,66.672
GHA,2022,65.297
GHA,2021,65.076
GHA,2020,64.693
GHA,2019,65.313
GHA,2018,65.241
GHA,2017,65.173
GHA,2016,65.111
GHA,2015,65.06
GHA,2014,65.593
GHA,2013,66.123
GHA,2012,66.648
GHA,2011,67.169
GHA,2010,67.687
GHA,2009,68.201
GHA,2008,68.711
GHA,2007,69.217
GHA,2006,69.719
GHA,2005,70.216
GHA,2004,70.709
GHA,2003,71.197
GHA,2002,71.681
GHA,2001,72.16
GHA,2000,72.634
GHA,1999,73.082
GHA,1998,73.524
GHA,1997,73.962
GHA,1996,74.395
GHA,1995,74.822
GHA,1994,75.245
GHA,1993,75.664
GHA,1992,76.079
GHA,1991,76.488
GHA,1990,76.461
KEN,2022,72.723
KEN,2021,72.137
KEN,2020,71.314
KEN,2019,71.998
