Country_name,Country_ISO3,Year,Indicator_name,Indicator_code,Value
"Egypt, Arab Rep.",EGY,2020,Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,6.3
"Egypt, Arab Rep.",EGY,2016,Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,4.9
"Egypt, Arab Rep.",EGY,2013,Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,7.1
"Egypt, Arab Rep.",EGY,2020,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,5.2
"Egypt, Arab Rep.",EGY,2016,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,17.8
"Egypt, Arab Rep.",EGY,2013,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,16.1
"Egypt, Arab Rep.",EGY,2008,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,34
"Egypt, Arab Rep.",EGY,2007,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,20.9
"Egypt, Arab Rep.",EGY,2021,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,90.8600006103516
"Egypt, Arab Rep.",EGY,2017,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,86.810546875
"Egypt, Arab Rep.",EGY,2015,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,5.59000015258789
"Egypt, Arab Rep.",EGY,2014,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,94.0800018310547
"Egypt, Arab Rep.",EGY,2013,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,90.3254013061523
"Egypt, Arab Rep.",EGY,2012,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,86.0515899658203
"Egypt, Arab Rep.",EGY,2010,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,84.3069305419922
"Egypt, Arab Rep.",EGY,2008,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,87.7300033569336
"Egypt, Arab Rep.",EGY,2006,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,81.7514495849609
"Egypt, Arab Rep.",EGY,2005,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,78.7751770019531
"Egypt, Arab Rep.",EGY,2000,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,77.1900024414063
"Egypt, Arab Rep.",EGY,1996,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,66.9315414428711
"Egypt, Arab Rep.",EGY,1986,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,54.0046615600586
"Egypt, Arab Rep.",EGY,1976,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,38.1226387023926
"Egypt, Arab Rep.",EGY,2021,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.986220002174377
"Egypt, Arab Rep.",EGY,2017,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.970130026340485
"Egypt, Arab Rep.",EGY,2015,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1.1270124912262
"Egypt, Arab Rep.",EGY,2013,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.964510023593903
"Egypt, Arab Rep.",EGY,2012,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.931739985942841
