Country_ID,Year,Indicator_ID,Indicator_description,Indicator_value,Indicator_group
EGY,1970,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,1971,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,1972,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,1973,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,1974,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,1975,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,1976,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,1977,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,1978,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,1979,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,1980,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,1981,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,1982,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,1983,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,1984,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,1985,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,1986,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,1987,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,1988,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,1989,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,1990,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,1991,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,1992,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,1993,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,1994,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,1995,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,1996,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,1997,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,1998,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,1999,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,2000,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,2001,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,2002,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,2003,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,2004,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,2005,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,2006,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,2007,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,2008,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,2009,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,2010,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,2011,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,2012,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,2013,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,2014,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,2015,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,2016,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,2017,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,2018,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,2019,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,2020,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,2021,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,2022,SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,Agency
EGY,1970,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,1971,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,1972,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,1973,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,1974,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,1975,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,1976,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,1977,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,1978,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,1979,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,1980,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,1981,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,1982,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,1983,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,1984,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,1985,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,1986,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,1987,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,1988,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,1989,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,1990,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,1991,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,1992,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,1993,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,1994,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,1995,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,1996,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,1997,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,1998,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,1999,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,2000,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,2001,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,2002,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,2003,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,2004,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,2005,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,2006,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,2007,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,2008,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,2009,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,2010,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,2011,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,2012,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,2013,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,2014,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,2015,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,2016,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,2017,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,2018,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,2019,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,2020,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,2021,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,2022,SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),0,Agency
EGY,1970,SG.LOC.LIVE.EQ,A woman can choose where to live in the same way as a man (1=yes; 0=no),0,Agency
EGY,1971,SG.LOC.LIVE.EQ,A woman can choose where to live in the same way as a man (1=yes; 0=no),0,Agency
EGY,1972,SG.LOC.LIVE.EQ,A woman can choose where to live in the same way as a man (1=yes; 0=no),0,Agency
EGY,1973,SG.LOC.LIVE.EQ,A woman can choose where to live in the same way as a man (1=yes; 0=no),0,Agency
EGY,1974,SG.LOC.LIVE.EQ,A woman can choose where to live in the same way as a man (1=yes; 0=no),0,Agency
EGY,1975,SG.LOC.LIVE.EQ,A woman can choose where to live in the same way as a man (1=yes; 0=no),0,Agency
EGY,1976,SG.LOC.LIVE.EQ,A woman can choose where to live in the same way as a man (1=yes; 0=no),0,Agency
EGY,1977,SG.LOC.LIVE.EQ,A woman can choose where to live in the same way as a man (1=yes; 0=no),0,Agency
EGY,1978,SG.LOC.LIVE.EQ,A woman can choose where to live in the same way as a man (1=yes; 0=no),0,Agency
EGY,1979,SG.LOC.LIVE.EQ,A woman can choose where to live in the same way as a man (1=yes; 0=no),0,Agency
EGY,1980,SG.LOC.LIVE.EQ,A woman can choose where to live in the same way as a man (1=yes; 0=no),0,Agency
