Country_ID,Year,Indicator_ID,Indicator_description,Indicator_value
EGY,2019,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",1.008090019
EGY,2018,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",1.003919959
EGY,2017,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",1.002679944
EGY,2016,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",1.000669956
EGY,2014,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.9971299767
EGY,2013,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.9914399981
EGY,2012,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.9867600203
EGY,2011,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.9547700286
EGY,2010,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.9710199833
EGY,2009,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.9674400091
EGY,2007,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.9581000209
EGY,2006,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.9504500031
EGY,2005,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.9473500252
EGY,2004,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.967779994
EGY,2003,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.9573299885
EGY,2002,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.9483100176
EGY,2001,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.940599978
EGY,2000,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.9310899973
EGY,1999,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.9232500196
EGY,1997,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.8784300089
EGY,1996,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.7629600167
EGY,1995,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.8881599903
EGY,1994,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.8547099829
EGY,1993,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.8686800003
EGY,1992,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.8617799878
EGY,1991,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.8412200212
EGY,1990,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.8500499725
EGY,1989,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.835529983
EGY,1988,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.7891200185
EGY,1987,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.8190299869
EGY,1986,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.806129992
EGY,1985,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.7884600163
EGY,1984,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.7680900097
EGY,1983,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.7465000153
EGY,1982,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.7299699783
EGY,1981,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.7179899812
EGY,1980,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.7051900029
EGY,1979,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.6965900064
EGY,1978,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.685190022
EGY,1977,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.6743299961
EGY,1976,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.6663299799
EGY,1975,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.6577100158
EGY,1974,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.6570799947
EGY,1973,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.6540700197
EGY,1972,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.6553400159
EGY,1971,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.6569200158
ETH,2021,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.9124199748
ETH,2020,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.9023227096
ETH,2019,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.9022892118
ETH,2018,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.9007718563
ETH,2017,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.9026283622
ETH,2016,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.9073536992
ETH,2015,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.9085100293
ETH,2014,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.9179900289
ETH,2013,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.9255862832
ETH,2012,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.9281499982
ETH,2011,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.9211300015
ETH,2010,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.924390018
ETH,2009,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.9272300005
ETH,2008,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.9042699933
ETH,2007,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.8893399835
ETH,2006,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.8720399737
ETH,2005,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.8355600238
ETH,2004,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.7825300097
ETH,2003,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.7338399887
ETH,2002,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.7171800137
ETH,2001,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.6941599846
ETH,2000,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.6560000181
ETH,1999,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.6136699915
ETH,1998,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.5896300077
ETH,1997,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.5653100014
ETH,1996,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.57506001
ETH,1995,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.5991799831
ETH,1994,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.6298599839
ETH,1993,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.6994100213
ETH,1992,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.7276200056
ETH,1991,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.6655499935
ETH,1990,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.6567100286
ETH,1989,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.6432200074
ETH,1988,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.6202499866
ETH,1987,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.6368100047
ETH,1986,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.6572800279
ETH,1985,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.653859973
ETH,1984,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.6215599775
ETH,1983,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.6041799784
ETH,1982,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.5749499798
ETH,1981,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.5533999801
ETH,1980,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.5314700007
ETH,1979,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.4810200036
ETH,1978,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.4924600124
ETH,1977,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.4799999893
ETH,1976,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.4773899913
ETH,1975,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.4735800028
ETH,1974,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.4702799916
ETH,1973,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.4672200084
ETH,1972,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.4661299884
ETH,1971,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",0.4584099948
GHA,2020,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",1.017590046
GHA,2019,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",1.013859987
GHA,2018,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",1.012159944
GHA,2017,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",1.010100007
