Country_ID,Indicator_ID,Year,Indicator_description,Indicator_value,Disadvantaged_value_based,Boolean_indicator_value,Ratio_indicator_value
EGY,SE.ENR.PRIM.FM.ZS,1971,"School enrollment, primary (gross), gender parity index (GPI)",0.6569200158,false,"",0.6569200158
EGY,SE.ENR.PRIM.FM.ZS,1972,"School enrollment, primary (gross), gender parity index (GPI)",0.6553400159,false,"",0.6553400159
EGY,SE.ENR.PRIM.FM.ZS,1973,"School enrollment, primary (gross), gender parity index (GPI)",0.6540700197,false,"",0.6540700197
EGY,SE.ENR.PRIM.FM.ZS,1974,"School enrollment, primary (gross), gender parity index (GPI)",0.6570799947,false,"",0.6570799947
EGY,SE.ENR.PRIM.FM.ZS,1975,"School enrollment, primary (gross), gender parity index (GPI)",0.6577100158,false,"",0.6577100158
EGY,SE.ENR.PRIM.FM.ZS,1976,"School enrollment, primary (gross), gender parity index (GPI)",0.6663299799,false,"",0.6663299799
EGY,SE.ENR.PRIM.FM.ZS,1977,"School enrollment, primary (gross), gender parity index (GPI)",0.6743299961,false,"",0.6743299961
EGY,SE.ENR.PRIM.FM.ZS,1978,"School enrollment, primary (gross), gender parity index (GPI)",0.685190022,false,"",0.685190022
EGY,SE.ENR.PRIM.FM.ZS,1979,"School enrollment, primary (gross), gender parity index (GPI)",0.6965900064,false,"",0.6965900064
EGY,SE.ENR.PRIM.FM.ZS,1980,"School enrollment, primary (gross), gender parity index (GPI)",0.7051900029,false,"",0.7051900029
EGY,SE.ENR.PRIM.FM.ZS,1981,"School enrollment, primary (gross), gender parity index (GPI)",0.7179899812,false,"",0.7179899812
EGY,SE.ENR.PRIM.FM.ZS,1982,"School enrollment, primary (gross), gender parity index (GPI)",0.7299699783,false,"",0.7299699783
EGY,SE.ENR.PRIM.FM.ZS,1983,"School enrollment, primary (gross), gender parity index (GPI)",0.7465000153,false,"",0.7465000153
EGY,SE.ENR.PRIM.FM.ZS,1984,"School enrollment, primary (gross), gender parity index (GPI)",0.7680900097,false,"",0.7680900097
EGY,SE.ENR.PRIM.FM.ZS,1985,"School enrollment, primary (gross), gender parity index (GPI)",0.7884600163,false,"",0.7884600163
EGY,SE.ENR.PRIM.FM.ZS,1986,"School enrollment, primary (gross), gender parity index (GPI)",0.806129992,false,"",0.806129992
EGY,SE.ENR.PRIM.FM.ZS,1987,"School enrollment, primary (gross), gender parity index (GPI)",0.8190299869,false,"",0.8190299869
EGY,SE.ENR.PRIM.FM.ZS,1988,"School enrollment, primary (gross), gender parity index (GPI)",0.7891200185,false,"",0.7891200185
EGY,SE.ENR.PRIM.FM.ZS,1989,"School enrollment, primary (gross), gender parity index (GPI)",0.835529983,false,"",0.835529983
EGY,SE.ENR.PRIM.FM.ZS,1990,"School enrollment, primary (gross), gender parity index (GPI)",0.8500499725,false,"",0.8500499725
EGY,SE.ENR.PRIM.FM.ZS,1991,"School enrollment, primary (gross), gender parity index (GPI)",0.8412200212,false,"",0.8412200212
EGY,SE.ENR.PRIM.FM.ZS,1992,"School enrollment, primary (gross), gender parity index (GPI)",0.8617799878,false,"",0.8617799878
EGY,SE.ENR.PRIM.FM.ZS,1993,"School enrollment, primary (gross), gender parity index (GPI)",0.8686800003,false,"",0.8686800003
EGY,SE.ENR.PRIM.FM.ZS,1994,"School enrollment, primary (gross), gender parity index (GPI)",0.8547099829,false,"",0.8547099829
EGY,SE.ENR.PRIM.FM.ZS,1995,"School enrollment, primary (gross), gender parity index (GPI)",0.8881599903,false,"",0.8881599903
EGY,SE.ENR.PRIM.FM.ZS,1996,"School enrollment, primary (gross), gender parity index (GPI)",0.7629600167,false,"",0.7629600167
EGY,SE.ENR.PRIM.FM.ZS,1997,"School enrollment, primary (gross), gender parity index (GPI)",0.8784300089,false,"",0.8784300089
EGY,SE.ENR.PRIM.FM.ZS,1999,"School enrollment, primary (gross), gender parity index (GPI)",0.9232500196,false,"",0.9232500196
EGY,SE.ENR.PRIM.FM.ZS,2000,"School enrollment, primary (gross), gender parity index (GPI)",0.9310899973,false,"",0.9310899973
EGY,SE.ENR.PRIM.FM.ZS,2001,"School enrollment, primary (gross), gender parity index (GPI)",0.940599978,false,"",0.940599978
