Indicator_ID,Indicator_description,Indicator_gender,Indicator_type,Combined_indicator_ID,Indicator_name
SG.APL.PSPT.EQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no),,Boolean,SG.APL.PSPT.EQ,apply for a passport
SG.HLD.HEAD.EQ,A woman can be head of household in the same way as a man (1=yes; 0=no),,Boolean,SG.HLD.HEAD.EQ,be head of household
SG.LOC.LIVE.EQ,A woman can choose where to live in the same way as a man (1=yes; 0=no),,Boolean,SG.LOC.LIVE.EQ,choose where to live
SG.GET.JOBS.EQ,A woman can get a job in the same way as a man (1=yes; 0=no),,Boolean,SG.GET.JOBS.EQ,get a job
SG.OBT.DVRC.EQ,A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),,Boolean,SG.OBT.DVRC.EQ,obtain a judgment of divorce
SG.OPN.BANK.EQ,A woman can open a bank account in the same way as a man (1=yes; 0=no),,Boolean,SG.OPN.BANK.EQ,open a bank account
SG.BUS.REGT.EQ,A woman can register a business in the same way as a man (1=yes; 0=no),,Boolean,SG.BUS.REGT.EQ,register a business
SG.CNT.SIGN.EQ,A woman can sign a contract in the same way as a man (1=yes; 0=no),,Boolean,SG.CNT.SIGN.EQ,sign a contract
SG.HME.TRVL.EQ,A woman can travel outside her home in the same way as a man (1=yes; 0=no),,Boolean,SG.HME.TRVL.EQ,travel outside her home
SG.CTR.TRVL.EQ,A woman can travel outside the country in the same way as a man (1=yes; 0=no),,Boolean,SG.CTR.TRVL.EQ,travel outside the country
SG.NGT.WORK.EQ,A woman can work at night in the same way as a man (1=yes; 0=no),,Boolean,SG.NGT.WORK.EQ,work at night
SG.DNG.WORK.DN.EQ,A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no),,Boolean,SG.DNG.WORK.DN.EQ,work in a job deemed dangerous
SG.IND.WORK.EQ,A woman can work in an industrial job in the same way as a man (1=yes; 0=no),,Boolean,SG.IND.WORK.EQ,work in an industrial job
SH.HIV.ARTC.FE.ZS,"Access to anti-retroviral drugs, female (%)",Female,Percentage,SH.HIV.ARTC.ZS,Anti-retroviral access
SH.HIV.ARTC.MA.ZS,"Access to anti-retroviral drugs, male (%)",Male,Percentage,SH.HIV.ARTC.ZS,Anti-retroviral access
SL.EMP.TOTL.SP.FE.ZS,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",Female,Percentage,SL.EMP.TOTL.SP.ZS,Employment to population
SL.EMP.TOTL.SP.MA.ZS,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",Male,Percentage,SL.EMP.TOTL.SP.ZS,Employment to population
SH.HIV.INCD.FE.P3,"Incidence of HIV, ages 15-49, female (per 1,000 uninfected female population ages 15-49)",Female,Per 1000,SH.HIV.INCD.P3,HIV Incidence
SH.HIV.INCD.MA.P3,"Incidence of HIV, ages 15-49, male (per 1,000 uninfected male population ages 15-49)",Male,Per 1000,SH.HIV.INCD.P3,HIV Incidence
SL.TLF.CACT.FE.ZS,"Labour force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",Female,Percentage,SL.TLF.CACT.ZS,LFPR
SL.TLF.CACT.MA.ZS,"Labour force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",Male,Percentage,SL.TLF.CACT.ZS,LFPR
SP.RUR.TOTL.FE.ZS,"Rural population, female (% of total)",Female,Percentage,SP.RUR.TOTL.ZS,Rural
SP.RUR.TOTL.MA.ZS,"Rural population, male (% of total)",Male,Percentage,SP.RUR.TOTL.ZS,Rural
SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",,GPI,SE.ENR.PRIM.FM.ZS,"School enrollment, primary"
SE.ENR.SECO.FM.ZS,"School enrollment, secondary (gross), gender parity index (GPI)",,GPI,SE.ENR.SECO.FM.ZS,"School enrollment, secondary"
SE.ENR.TERT.FM.ZS,"School enrollment, tertiary (gross), gender parity index (GPI)",,GPI,SE.ENR.TERT.FM.ZS,"School enrollment, tertiary"
SL.EMP.SELF.FE.ZS,"Self-employed, female (% of female employment) (modeled ILO estimate)",Female,Percentage,SL.EMP.SELF.ZS,Self-employed
SL.EMP.SELF.MA.ZS,"Self-employed, male (% of male employment) (modeled ILO estimate)",Male,Percentage,SL.EMP.SELF.ZS,Self-employed
SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labour force) (modeled ILO estimate)",Female,Percentage,SL.UEM.TOTL.ZS,Unemployed
SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labour force) (modeled ILO estimate)",Male,Percentage,SL.UEM.TOTL.ZS,Unemployed
SP.URB.TOTL.FE.ZS,"Urban population, female (% of total)",Female,Percentage,SP.URB.TOTL.ZS,Urban
SP.URB.TOTL.MA.ZS,"Urban population, male (% of total)",Male,Percentage,SP.URB.TOTL.ZS,Urban
SL.EMP.VULN.FE.ZS,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",Female,Percentage,SL.EMP.VULN.ZS,Vulnerable employed
SL.EMP.VULN.MA.ZS,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",Male,Percentage,SL.EMP.VULN.ZS,Vulnerable employed
SL.EMP.WORK.FE.ZS,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",Female,Percentage,SL.EMP.WORK.ZS,Employed
SL.EMP.WORK.MA.ZS,"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",Male,Percentage,SL.EMP.WORK.ZS,Employed
